IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.209.252.13	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	172	11.62
47.236.104.98	2052	2052	FALSE	SIN	Asia Pacific	Singapore	44	11.61
8.209.241.128	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	197	11.61
8.219.198.139	2083	2083	TRUE	SIN	Asia Pacific	Singapore	124	11.6
47.245.39.28	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	81	11.6
8.209.243.137	80	80	FALSE	HKG	Asia Pacific	Hong Kong	165	11.6
8.209.248.161	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	170	11.6
8.219.3.53	2086	2086	FALSE	SIN	Asia Pacific	Singapore	5	11.6
8.219.60.130	2053	2053	TRUE	SIN	Asia Pacific	Singapore	82	11.6
8.219.248.170	80	80	FALSE	SIN	Asia Pacific	Singapore	18	11.59
8.222.182.10	2086	2086	FALSE	SIN	Asia Pacific	Singapore	48	11.59
47.245.80.142	2083	2083	TRUE	SIN	Asia Pacific	Singapore	45	11.58
8.219.161.129	2052	2052	FALSE	SIN	Asia Pacific	Singapore	10	11.58
8.222.150.197	2083	2083	TRUE	SIN	Asia Pacific	Singapore	139	11.58
47.91.22.115	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	88	11.57
47.236.130.95	2052	2052	FALSE	SIN	Asia Pacific	Singapore	36	11.57
47.236.104.11	2087	2087	TRUE	SIN	Asia Pacific	Singapore	83	11.57
8.218.146.204	80	80	FALSE	HKG	Asia Pacific	Hong Kong	53	11.57
47.74.8.238	2083	2083	TRUE	LAX	North America	Los Angeles	203	11.57
47.245.40.161	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	172	11.57
8.209.255.195	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	164	11.57
8.222.150.197	2082	2082	FALSE	SIN	Asia Pacific	Singapore	4	11.56
47.74.39.194	8080	8080	FALSE	SIN	Asia Pacific	Singapore	159	11.56
8.209.212.5	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	217	11.56
8.219.248.47	443	443	TRUE	SIN	Asia Pacific	Singapore	98	11.54
8.219.206.53	443	443	TRUE	SIN	Asia Pacific	Singapore	63	11.52
8.219.167.65	443	443	TRUE	SIN	Asia Pacific	Singapore	124	11.52
8.219.97.179	443	443	TRUE	SIN	Asia Pacific	Singapore	80	11.45
8.222.164.209	443	443	TRUE	SIN	Asia Pacific	Singapore	120	11.39
8.219.210.64	443	443	TRUE	SIN	Asia Pacific	Singapore	94	11.38
8.219.170.223	443	443	TRUE	SIN	Asia Pacific	Singapore	47	11.33
8.219.228.193	443	443	TRUE	SIN	Asia Pacific	Singapore	50	11.28
8.219.179.34	443	443	TRUE	SIN	Asia Pacific	Singapore	59	11.26
8.219.240.160	443	443	TRUE	SIN	Asia Pacific	Singapore	99	11.24
8.219.103.65	443	443	TRUE	SIN	Asia Pacific	Singapore	81	11.23
8.219.195.47	443	443	TRUE	SIN	Asia Pacific	Singapore	157	11.12
47.245.107.174	443	443	TRUE	SIN	Asia Pacific	Singapore	42	11.09
8.219.126.240	443	443	TRUE	SIN	Asia Pacific	Singapore	20	11.03
47.88.15.127	443	443	TRUE	SJC	North America	San Jose	177	11
8.219.213.112	443	443	TRUE	SIN	Asia Pacific	Singapore	92	11
